fishname,fs,fishdate,day_temp,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,FL,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir,success,absstable10,absstable10_v,fdistcm
wild28,high,05/05/2021,7.5,13:32:31,x,nan,no_reaction,no change,clock,,,,13,wild,,,,,,,,,,,,,,,,,,,high_clock,no,,,
wild29,high,05/05/2021,7.5,14:00:07,x,nan,no_reaction,no change,counter,,,,13,wild,,,,,,,,,,,,,,,,,,,high_counter,no,,,
wild31,high,05/05/2021,7.5,14:55:08,x,nan,no_reaction,no change,counter,,,,13,wild,,,,,,,,,,,,,,,,,,,high_counter,no,,,
indoorfarmed1,old,01/08/2019,15.5,13:29:10,13:34:05,00:04:55,dir_change,,clock,2,-3,-4,20.7,farmed_in,,,,,,,,,,,,,,-1.5,295,,,3,old_clock,yes,2,,
indoorfarmed2,old,01/08/2019,15.5,14:42:48,14:48:40,00:05:52,dir_change,,clock,11,-15,-13,20.7,farmed_in,,,,,,,,,,,,,,-1.36363636363636,352,,,15,old_clock,yes,11,,
indoorfarmed3,old,01/08/2019,15.5,15:14:10,-,nan,no_reaction,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,no,,,
indoorfarmed4,old,01/08/2019,15.5,15:46:30,15:46:47,00:00:17,swim_off,,clock,11,-4,-11,20.7,farmed_in,,,,,,,,,,,,,,-0.363636363636364,17,,,4,old_clock,dk,11,,
indoorfarmed5,old,01/08/2019,15.5,16:19:05,16:19:38,00:00:33,dir_change,,counter,-10,0,12,20.7,farmed_in,,,,,,,,,,,,,,0,33,,,0,old_counter,yes,10,,
indoorfarmed6,old,01/08/2019,15.5,16:55:05,16:56:34,00:01:29,swim_off,,clock,10,-7,-14,20.7,farmed_in,,,,,,,,,,,,,,-0.7,89,,,7,old_clock,dk,10,,
indoorfarmed7,old,01/08/2019,15.5,17:25:26,17:26:32,00:01:06,swim_off,,counter,-9,5,10,20.7,farmed_in,,,,,,,,,,,,,,-0.555555555555556,66,,,5,old_counter,dk,9,,
indoorfarmed8,old,01/08/2019,15.5,17:54:12,-,nan,unstable,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,dk,,,
indoorfarmed9,old,05/08/2019,16.1,15:10:03,15:10:53,00:00:50,dir_change,,clock,2,-5,-4,20.7,farmed_in,,,,,,,,,,,,,,-2.5,50,,,5,old_clock,yes,2,,
indoorfarmed10,old,05/08/2019,16.1,15:37:05,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed11,old,05/08/2019,16.1,16:00:19,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed12,old,05/08/2019,16.1,16:40:41,-,nan,unstable,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed13,old,05/08/2019,16.1,16:41:06,16:43:33,00:02:27,dir_change,,clock,4,-5,-6,20.7,farmed_in,,,,,,,,,,,,,,-1.25,147,,,5,old_clock,yes,4,,
indoorfarmed14,old,05/08/2019,16.1,17:18:58,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed15,old,05/08/2019,16.1,17:52:24,-,nan,error,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,dk,,,
indoorfarmed16,old,05/08/2019,16.1,18:23:09,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed17,old,05/08/2019,16.1,18:56:21,-,nan,error,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,dk,,,
